productTitle,originalPrice,price,sold,shipping_mode,discount_percent%,acctual_revenue,potential_revenue,revenue_loss_due_to_discount,free_shipping,discount_range
Dresser For Bedroom With 9 Fabric Drawers Wardrobe Steel Frame Assembly Closet For Clothes Storage Display Cabinet Of Furniture,46.79,46.79,600,Free shipping,0.0,28074.0,28074.0,0.0,True,0%
"Outdoor Conversation Set 4 Pieces Patio Furniture, Wicker Patio Chair Sofa Set w/ Water-Resistant Dark-Brown Cushion & Tempered",169.72,169.72,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
Desser For Bedroom With 7 Fabric Drawers Organizer Storage Closet Chest Clothes For Living Room Display Cabinet Of Furniture,78.4,39.46,7,Free shipping,49.67,276.22,548.8000000000001,272.58000000000004,True,21-50%
"Modern Accent Boucle Chair,Upholstered Tufted Creative Furniture Sofa Couch Lounge Reading Chair for Living Room Home Decorative",111.99,111.99,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
Small Unit Simple Computer Desk Household Wooden Minimalist Tea Table Wooden Minimalist Small Makeup Table Home Furniture,48.82,21.37,1,Free shipping,56.23,21.37,48.82,27.45,True,50%+
"3 Pieces Patio Furniture Set, Outdoor Swivel Glider Rocker, Wicker Bistro Set with Rattan Rocking Chair, Glass Top Table",1294.04,123.4,53,Free shipping,90.46,6540.200000000001,68584.12,62043.92,True,50%+
"5-Piece Patio Furniture Set Outdoor Couch with Glass Coffee Table and Two Pillows, Outdoor Sectional Conversation Set",198.31,198.31,1,Free shipping,0.0,198.31,198.31,0.0,True,0%
"Living Room Furniture, Modern 3-Piece Including Three-Seater, Loveseat and Single Chair,Dutch Velvet Upholstered Sofa Set",1474.17,734.58,5,Free shipping,50.17,3672.9,7370.85,3697.9500000000003,True,50%+
TV Stand Dresser For Bedroom With 5 Fabric Drawers Organizer Storage Closet Chest Clothes Storage Display Cabinet Of Furniture,43.96,43.96,3,,0.0,131.88,131.88,0.0,False,0%
"Outdoor Furniture Set 3 Pieces Wicker Patio Furniture Outdoor Sectional Patio Couch Outdoor Coffee Table,Khaki",233.3,233.3,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"4 Pieces Patio Furniture Set, Outdoor Rattan Woven Conversation Sectional L-Shaped Sofa with 5 Seater for Backyard",244.17,244.17,1,Free shipping,0.0,244.17,244.17,0.0,True,0%
"Jela kids couch 14PCs luxury, floor sofa modular furniture for adults, Playhouse play set toddlers babies, Modul",238.18,238.18,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"3/4/5 Piece Boho Outdoor Patio Furniture Sets with Egg Chair and Ice Bucket, Small L Shape Wicker Conversation Sectional Sofa",495.8,495.8,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"3 PCS Patio Conversation Set, Solid Eucalyptus Wood Frame Outdoor Wicker Furniture Set Bistro Set with Coffee Table",117.66,117.66,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
Modern luxury lounge chair home furniture hotel bedroom lounge chair living room accent chair,978.88,978.88,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"Furniture Contemporary Reversible Sectional Sleeper Sectional Sofa with Storage Chaise in Dark Gray Fabric, free shipping",440.94,440.94,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"Patio Furniture Sets - 3 Pieces Rattan Sofa Set, Outdoor Conversation Set with Tempered Glass Tabletop, Outdoor Furniture Sets",183.3,183.3,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"Patio Dining Set Outdoor Furniture with 6 Stackable Textilene Chairs and Large Table for Yard, Garden Porch and Poolside, Grey",60.28,60.28,4,Free shipping,0.0,241.12,241.12,0.0,True,0%
7 Pieces Patio Furniture Set - Outdoor Sectional Wicker Rattan Furniture with Cushion and Glass Table Patio Conversation,376.5,376.5,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
"47"" Small Modern Loveseat Couch Sofa, Fabric Upholstered 2-Seat Sofa, Love Seat Furniture with 2 Pillows, Wood Leg Sofas",204.93,204.93,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
7-piece patio furniture set modular wicker outdoor sectional sofa PE rattan outdoor set with pillowtop cushions and coffee table,671.47,331.24,39,Free shipping,50.67,12918.36,26187.33,13268.970000000001,True,50%+
Patio Furniture Sets All Weather Outdoor Sectional Sofa Manual Weaving Wicker Rattan Patio Seating Sofas with Cushion & Table,276.65,276.65,0,Free shipping,0.0,0.0,0.0,0.0,True,0%
